customer_id,item_id,event_type,event_value,event_date
C00007,ITEM_036,play,3,2026-04-29
C00679,ITEM_016,play,3,2026-03-31
C00895,ITEM_071,view,1,2026-01-08
C00661,ITEM_040,view,1,2026-01-22
C00460,ITEM_025,play,3,2026-04-10
C00994,ITEM_035,view,1,2026-04-29
C00445,ITEM_062,view,1,2026-02-15
C00852,ITEM_028,view,1,2026-01-06
C00556,ITEM_066,view,1,2026-01-13
C00031,ITEM_018,view,1,2026-02-26
C00636,ITEM_025,view,1,2026-06-05
C00059,ITEM_011,view,1,2026-03-17
C01117,ITEM_069,view,1,2026-06-25
C00721,ITEM_069,view,1,2026-06-10
C00446,ITEM_016,play,3,2026-06-04
C00583,ITEM_042,view,1,2026-06-24
C00743,ITEM_063,play,3,2026-02-13
C00312,ITEM_048,view,1,2026-06-25
C00346,ITEM_051,view,1,2026-06-16
C00502,ITEM_020,play,3,2026-05-24
C00310,ITEM_002,play,3,2026-02-04
C00909,ITEM_074,play,3,2026-02-22
C00124,ITEM_073,play,3,2026-04-28
C00991,ITEM_074,play,3,2026-01-09
C00418,ITEM_003,play,3,2026-05-28
C00673,ITEM_053,play,3,2026-03-18
C00189,ITEM_020,play,3,2026-01-04
C00462,ITEM_025,view,1,2026-02-23
C00905,ITEM_033,view,1,2026-03-13
C00324,ITEM_018,view,1,2026-04-28
C00158,ITEM_047,view,1,2026-04-19
C00626,ITEM_047,play,3,2026-03-08
C00194,ITEM_074,view,1,2026-04-22
C00377,ITEM_066,view,1,2026-06-10
C00540,ITEM_056,play,3,2026-03-05
C00676,ITEM_077,view,1,2026-03-09
C00767,ITEM_034,play,3,2026-01-19
C00811,ITEM_005,view,1,2026-03-10
C01013,ITEM_070,view,1,2026-02-21
C00079,ITEM_026,view,1,2026-05-17
C00434,ITEM_035,view,1,2026-01-21
C00001,ITEM_031,view,1,2026-04-17
C00011,ITEM_072,view,1,2026-05-19
C00254,ITEM_029,view,1,2026-02-15
C00717,ITEM_054,view,1,2026-01-13
C01073,ITEM_053,play,3,2026-05-02
C00928,ITEM_044,view,1,2026-04-16
C00775,ITEM_043,view,1,2026-04-12
C00933,ITEM_005,view,1,2026-06-08
C00206,ITEM_071,purchase,5,2026-01-19
C01007,ITEM_026,play,3,2026-02-05
C01068,ITEM_017,purchase,5,2026-03-26
C00114,ITEM_017,purchase,5,2026-04-12
C00563,ITEM_031,view,1,2026-06-15
C00996,ITEM_049,play,3,2026-04-22
C00571,ITEM_043,view,1,2026-02-08
C01008,ITEM_066,play,3,2026-06-03
C01122,ITEM_065,view,1,2026-03-16
C00569,ITEM_026,view,1,2026-06-06
C00071,ITEM_065,purchase,5,2026-02-19
C00408,ITEM_054,play,3,2026-05-23
C00258,ITEM_068,purchase,5,2026-04-07
C00568,ITEM_000,view,1,2026-04-11
C00702,ITEM_041,view,1,2026-06-25
C00556,ITEM_050,view,1,2026-01-28
C00234,ITEM_019,view,1,2026-02-25
C00361,ITEM_052,view,1,2026-02-02
C00815,ITEM_058,view,1,2026-05-30
C00032,ITEM_011,play,3,2026-06-03
C00256,ITEM_076,view,1,2026-05-31
C01070,ITEM_075,play,3,2026-02-12
C00118,ITEM_022,play,3,2026-02-16
C00497,ITEM_015,view,1,2026-03-14
C00248,ITEM_015,view,1,2026-05-20
C00125,ITEM_002,view,1,2026-05-16
C00507,ITEM_001,view,1,2026-06-27
C00625,ITEM_024,play,3,2026-05-22
C00211,ITEM_053,view,1,2026-06-21
C00093,ITEM_054,view,1,2026-02-17
C00161,ITEM_043,purchase,5,2026-04-20
C00781,ITEM_052,play,3,2026-04-06
C01032,ITEM_010,play,3,2026-01-28
C00216,ITEM_079,view,1,2026-06-20
C00384,ITEM_015,purchase,5,2026-01-22
C00412,ITEM_029,view,1,2026-06-03
C00432,ITEM_052,view,1,2026-02-18
C00293,ITEM_010,play,3,2026-02-09
C00066,ITEM_034,play,3,2026-04-19
C00630,ITEM_074,view,1,2026-03-26
C00428,ITEM_018,view,1,2026-03-11
C00410,ITEM_049,view,1,2026-06-12
C00317,ITEM_048,play,3,2026-05-06
C01115,ITEM_006,play,3,2026-04-20
C00732,ITEM_004,view,1,2026-05-22
C00502,ITEM_011,view,1,2026-05-25
C00246,ITEM_001,play,3,2026-02-02
C00961,ITEM_042,play,3,2026-03-21
C01066,ITEM_020,view,1,2026-06-12
C00038,ITEM_047,view,1,2026-05-27
C01115,ITEM_023,purchase,5,2026-01-11
C00839,ITEM_028,view,1,2026-02-14
C00119,ITEM_008,view,1,2026-02-17
C00903,ITEM_063,view,1,2026-04-03
C00128,ITEM_009,view,1,2026-05-27
C00061,ITEM_073,play,3,2026-03-28
C00138,ITEM_013,view,1,2026-02-03
C00551,ITEM_079,view,1,2026-04-11
C00743,ITEM_057,view,1,2026-02-09
C00488,ITEM_065,play,3,2026-05-03
C00146,ITEM_064,view,1,2026-06-25
C00239,ITEM_035,view,1,2026-04-24
C01022,ITEM_014,view,1,2026-06-14
C01155,ITEM_054,view,1,2026-04-08
C00905,ITEM_052,purchase,5,2026-05-27
C00124,ITEM_064,play,3,2026-06-19
C00983,ITEM_018,play,3,2026-02-01
C00830,ITEM_065,view,1,2026-04-30
C00631,ITEM_070,view,1,2026-02-15
C00171,ITEM_058,purchase,5,2026-01-16
C01196,ITEM_021,view,1,2026-02-12
C00531,ITEM_019,play,3,2026-01-26
C00053,ITEM_010,view,1,2026-02-04
C00251,ITEM_066,view,1,2026-01-02
C00481,ITEM_035,view,1,2026-06-24
C00074,ITEM_024,view,1,2026-03-21
C00388,ITEM_012,view,1,2026-01-30
C00562,ITEM_039,view,1,2026-03-03
C01138,ITEM_015,view,1,2026-05-15
C00103,ITEM_066,view,1,2026-04-24
C00692,ITEM_027,play,3,2026-01-10
C01098,ITEM_035,view,1,2026-01-27
C00967,ITEM_052,play,3,2026-04-08
C01109,ITEM_055,view,1,2026-06-24
C00204,ITEM_009,view,1,2026-01-13
C00961,ITEM_006,view,1,2026-06-05
C01174,ITEM_022,purchase,5,2026-01-12
C00391,ITEM_059,view,1,2026-03-31
C00598,ITEM_068,purchase,5,2026-02-11
C00637,ITEM_077,view,1,2026-03-18
C00592,ITEM_021,play,3,2026-06-16
C00347,ITEM_061,play,3,2026-02-08
C01165,ITEM_013,purchase,5,2026-04-25
C01147,ITEM_015,view,1,2026-03-01
C00456,ITEM_042,purchase,5,2026-04-28
C00966,ITEM_007,view,1,2026-01-10
C00477,ITEM_002,play,3,2026-02-23
C00953,ITEM_079,view,1,2026-06-22
C00701,ITEM_064,view,1,2026-05-11
C00564,ITEM_054,view,1,2026-06-18
C00153,ITEM_017,play,3,2026-05-03
C00785,ITEM_006,view,1,2026-02-03
