customer_id,segment,treatment,converted
C00000,at_risk,0,0
C00001,engaged,1,0
C00002,premium,1,0
C00003,at_risk,1,0
C00004,new,1,1
C00005,premium,1,1
C00006,at_risk,0,1
C00007,at_risk,1,0
C00008,new,1,0
C00009,engaged,0,0
C00010,engaged,1,1
C00011,premium,0,0
C00012,engaged,0,0
C00013,at_risk,1,0
C00014,engaged,0,0
C00015,new,0,0
C00016,engaged,0,0
C00017,new,0,0
C00018,at_risk,1,0
C00019,engaged,1,0
C00020,at_risk,1,0
C00021,engaged,1,0
C00022,premium,1,0
C00023,premium,1,1
C00024,at_risk,1,0
C00025,new,0,0
C00026,engaged,1,1
C00027,new,0,0
C00028,new,0,0
C00029,at_risk,1,0
C00030,at_risk,1,0
C00031,premium,0,1
C00032,engaged,0,0
C00033,engaged,0,1
C00034,engaged,1,1
C00035,new,1,0
C00036,new,0,1
C00037,engaged,1,0
C00038,new,0,0
C00039,at_risk,0,0
C00040,engaged,0,1
C00041,at_risk,0,0
C00042,at_risk,0,0
C00043,engaged,0,0
C00044,at_risk,1,0
C00045,at_risk,0,0
C00046,engaged,1,0
C00047,engaged,1,1
C00048,at_risk,1,0
C00049,new,0,0
C00050,new,1,0
C00051,new,0,1
C00052,at_risk,0,0
C00053,at_risk,1,0
C00054,at_risk,1,0
C00055,at_risk,0,0
C00056,engaged,0,0
C00057,engaged,1,1
C00058,new,1,0
C00059,new,1,0
C00060,at_risk,0,0
C00061,engaged,1,1
C00062,engaged,1,0
C00063,at_risk,0,0
C00064,engaged,0,1
C00065,engaged,0,1
C00066,engaged,1,0
C00067,engaged,1,0
C00068,new,0,0
C00069,engaged,1,1
C00070,new,1,0
C00071,engaged,0,1
C00072,premium,1,1
C00073,new,1,0
C00074,new,1,0
C00075,engaged,0,1
C00076,engaged,1,0
C00077,at_risk,0,0
C00078,engaged,0,0
C00079,at_risk,1,0
C00080,at_risk,1,0
C00081,engaged,0,0
C00082,at_risk,0,1
C00083,new,0,0
C00084,new,0,0
C00085,new,1,0
C00086,at_risk,1,0
C00087,engaged,1,0
C00088,new,0,0
C00089,engaged,1,0
C00090,new,0,0
C00091,at_risk,1,0
C00092,engaged,0,1
C00093,engaged,1,1
C00094,engaged,0,1
C00095,engaged,1,1
C00096,engaged,0,0
C00097,new,1,0
C00098,new,0,1
C00099,premium,1,0
C00100,premium,1,1
C00101,at_risk,1,0
C00102,engaged,0,0
C00103,premium,1,1
C00104,at_risk,0,0
C00105,at_risk,0,0
C00106,engaged,0,1
C00107,engaged,0,1
C00108,new,0,1
C00109,premium,1,1
C00110,engaged,1,0
C00111,new,1,0
C00112,engaged,0,0
C00113,engaged,0,0
C00114,new,1,1
C00115,premium,1,1
C00116,at_risk,0,0
C00117,at_risk,1,0
C00118,engaged,1,1
C00119,engaged,1,0
C00120,engaged,0,0
C00121,engaged,0,0
C00122,new,0,0
C00123,engaged,0,0
C00124,new,0,0
C00125,engaged,0,0
C00126,engaged,0,0
C00127,new,0,0
C00128,new,0,0
C00129,engaged,0,0
C00130,new,0,0
C00131,premium,1,0
C00132,engaged,1,0
C00133,engaged,0,1
C00134,engaged,0,0
C00135,new,0,0
C00136,premium,0,1
C00137,engaged,1,0
C00138,at_risk,0,0
C00139,new,0,0
C00140,engaged,1,1
C00141,engaged,1,0
C00142,premium,0,0
C00143,engaged,0,0
C00144,engaged,1,0
C00145,engaged,1,0
C00146,engaged,1,1
C00147,engaged,0,0
C00148,engaged,0,0
C00149,new,1,0
C00150,at_risk,1,1
C00151,premium,1,0
C00152,new,1,0
C00153,engaged,1,1
C00154,new,0,0
C00155,at_risk,0,0
C00156,engaged,1,0
C00157,at_risk,1,0
C00158,at_risk,0,0
C00159,at_risk,0,0
C00160,new,0,0
C00161,premium,0,1
C00162,new,0,0
C00163,new,0,1
C00164,engaged,1,1
C00165,engaged,1,1
C00166,at_risk,1,1
C00167,at_risk,1,0
C00168,engaged,1,1
C00169,premium,1,1
C00170,engaged,0,0
C00171,engaged,0,0
C00172,engaged,0,0
C00173,premium,0,0
C00174,new,1,0
C00175,new,1,0
C00176,engaged,1,1
C00177,premium,0,0
C00178,premium,0,0
C00179,at_risk,0,0
C00180,premium,0,1
C00181,premium,1,0
C00182,engaged,0,0
C00183,engaged,0,0
C00184,at_risk,0,0
C00185,at_risk,1,0
C00186,engaged,0,0
C00187,new,0,0
C00188,at_risk,0,0
C00189,engaged,1,1
C00190,premium,1,0
C00191,new,1,1
C00192,new,1,0
C00193,at_risk,1,0
C00194,new,0,0
C00195,new,1,0
C00196,engaged,1,1
C00197,premium,0,0
C00198,new,1,0
C00199,engaged,0,1
C00200,at_risk,0,0
C00201,premium,0,1
C00202,engaged,1,0
C00203,new,1,1
C00204,new,0,1
C00205,new,0,0
C00206,new,1,0
C00207,at_risk,1,0
C00208,new,0,0
C00209,engaged,0,0
C00210,at_risk,1,0
C00211,engaged,1,0
C00212,new,0,0
C00213,at_risk,0,0
C00214,at_risk,0,0
C00215,at_risk,1,0
C00216,new,0,0
C00217,new,1,1
C00218,premium,0,0
C00219,engaged,0,0
C00220,engaged,0,1
C00221,engaged,1,0
C00222,at_risk,0,0
C00223,premium,1,1
C00224,engaged,1,1
C00225,premium,0,0
C00226,new,1,0
C00227,engaged,1,0
C00228,engaged,1,0
C00229,new,0,0
C00230,new,0,0
C00231,engaged,1,0
C00232,premium,1,0
C00233,engaged,1,0
C00234,premium,0,0
C00235,at_risk,1,0
C00236,engaged,1,1
C00237,at_risk,1,0
C00238,new,0,1
C00239,new,1,0
C00240,at_risk,1,0
C00241,at_risk,0,0
C00242,new,0,0
C00243,engaged,0,0
C00244,engaged,1,1
C00245,premium,1,0
C00246,engaged,0,0
C00247,engaged,1,1
C00248,engaged,0,0
C00249,engaged,1,0
C00250,at_risk,0,0
C00251,premium,0,0
C00252,engaged,0,0
C00253,new,0,0
C00254,new,0,0
C00255,at_risk,0,0
C00256,at_risk,0,0
C00257,new,1,0
C00258,new,0,0
C00259,engaged,0,1
C00260,new,0,1
C00261,at_risk,0,1
C00262,engaged,0,0
C00263,new,1,1
C00264,premium,1,0
C00265,new,1,0
C00266,engaged,1,0
C00267,new,0,0
C00268,new,0,0
C00269,new,1,0
C00270,new,0,0
C00271,new,0,0
C00272,new,0,1
C00273,engaged,1,1
C00274,at_risk,0,0
C00275,engaged,0,0
C00276,engaged,1,0
C00277,engaged,0,0
C00278,premium,1,0
C00279,premium,1,1
C00280,new,0,1
C00281,new,0,0
C00282,new,0,0
C00283,new,1,0
C00284,engaged,0,1
C00285,engaged,0,0
C00286,new,1,0
C00287,engaged,0,0
C00288,engaged,0,0
C00289,new,1,0
C00290,at_risk,0,0
C00291,new,0,0
C00292,premium,0,0
C00293,new,0,0
C00294,at_risk,0,0
C00295,premium,0,0
C00296,premium,1,1
C00297,at_risk,0,0
C00298,at_risk,0,0
C00299,engaged,1,0
C00300,at_risk,1,0
C00301,new,0,0
C00302,engaged,1,0
C00303,engaged,1,0
C00304,premium,1,1
C00305,engaged,0,1
C00306,engaged,1,0
C00307,engaged,0,0
C00308,engaged,0,0
C00309,new,1,1
C00310,engaged,1,0
C00311,engaged,0,0
C00312,new,0,0
C00313,engaged,0,0
C00314,engaged,1,0
C00315,engaged,0,0
C00316,engaged,0,0
C00317,at_risk,0,0
C00318,engaged,1,1
C00319,premium,1,1
C00320,premium,1,1
C00321,engaged,1,0
C00322,engaged,0,1
C00323,engaged,0,0
C00324,at_risk,1,0
C00325,at_risk,1,0
C00326,at_risk,0,0
C00327,engaged,1,0
C00328,engaged,1,1
C00329,engaged,0,0
C00330,at_risk,1,1
C00331,new,0,0
C00332,at_risk,0,1
C00333,premium,1,1
C00334,new,1,0
C00335,engaged,0,1
C00336,new,0,0
C00337,at_risk,0,0
C00338,new,1,0
C00339,premium,0,0
C00340,new,0,1
C00341,premium,1,1
C00342,at_risk,1,0
C00343,engaged,1,1
C00344,at_risk,0,0
C00345,at_risk,0,0
C00346,premium,0,0
C00347,engaged,0,0
C00348,engaged,1,0
C00349,new,0,0
C00350,engaged,1,0
C00351,new,1,1
C00352,engaged,0,0
C00353,engaged,0,0
C00354,engaged,1,0
C00355,engaged,0,0
C00356,at_risk,1,0
C00357,at_risk,0,1
C00358,engaged,1,0
C00359,engaged,0,0
C00360,premium,1,0
C00361,new,1,0
C00362,new,0,0
C00363,new,0,0
C00364,at_risk,1,0
C00365,engaged,0,1
C00366,at_risk,0,0
C00367,at_risk,1,0
C00368,engaged,0,1
C00369,premium,1,0
C00370,at_risk,1,0
C00371,engaged,0,0
C00372,engaged,0,0
C00373,engaged,0,0
C00374,new,1,0
C00375,new,1,0
C00376,premium,1,1
C00377,engaged,0,0
C00378,engaged,1,0
C00379,at_risk,0,0
C00380,engaged,1,0
C00381,premium,0,0
C00382,at_risk,1,0
C00383,engaged,1,1
C00384,engaged,0,0
C00385,premium,0,1
C00386,at_risk,0,0
C00387,premium,0,1
C00388,new,1,1
C00389,premium,1,0
C00390,engaged,1,1
C00391,new,1,0
C00392,engaged,1,0
C00393,at_risk,0,0
C00394,new,1,0
C00395,engaged,0,1
C00396,at_risk,0,0
C00397,engaged,1,1
C00398,engaged,1,0
C00399,engaged,0,0
C00400,engaged,0,0
C00401,premium,1,1
C00402,at_risk,0,0
C00403,new,0,0
C00404,premium,0,1
C00405,premium,1,0
C00406,engaged,1,0
C00407,at_risk,0,0
C00408,new,1,0
C00409,premium,0,0
C00410,at_risk,1,0
C00411,at_risk,0,0
C00412,new,1,0
C00413,premium,0,1
C00414,new,0,1
C00415,new,1,0
C00416,new,1,0
C00417,at_risk,1,0
C00418,new,1,0
C00419,premium,1,0
C00420,at_risk,0,0
C00421,new,1,1
C00422,new,1,0
C00423,new,0,0
C00424,engaged,1,0
C00425,at_risk,1,0
C00426,new,1,1
C00427,at_risk,0,0
C00428,new,0,0
C00429,at_risk,1,0
C00430,premium,1,1
C00431,at_risk,1,0
C00432,at_risk,1,0
C00433,at_risk,0,0
C00434,new,0,0
C00435,new,1,0
C00436,new,1,0
C00437,engaged,1,0
C00438,at_risk,1,0
C00439,engaged,0,0
C00440,premium,0,1
C00441,new,1,0
C00442,at_risk,0,0
C00443,new,0,0
C00444,engaged,0,0
C00445,at_risk,0,0
C00446,premium,1,1
C00447,engaged,0,0
C00448,new,1,0
C00449,engaged,0,0
C00450,new,0,0
C00451,premium,0,0
C00452,at_risk,1,1
C00453,new,1,1
C00454,new,0,0
C00455,new,0,0
C00456,premium,1,0
C00457,engaged,1,1
C00458,at_risk,0,0
C00459,engaged,0,0
C00460,engaged,0,0
C00461,new,0,0
C00462,premium,0,1
C00463,engaged,1,0
C00464,engaged,0,0
C00465,at_risk,1,0
C00466,engaged,0,0
C00467,premium,1,1
C00468,new,0,0
C00469,engaged,1,0
C00470,engaged,1,0
C00471,engaged,1,1
C00472,new,0,0
C00473,new,0,1
C00474,engaged,1,0
C00475,engaged,0,0
C00476,engaged,0,0
C00477,engaged,0,1
C00478,engaged,0,0
C00479,engaged,0,0
C00480,engaged,0,0
C00481,new,0,0
C00482,engaged,0,1
C00483,engaged,0,1
C00484,new,0,0
C00485,engaged,0,0
C00486,engaged,1,0
C00487,new,0,0
C00488,engaged,0,1
C00489,engaged,0,0
C00490,at_risk,0,1
C00491,engaged,1,0
C00492,at_risk,0,0
C00493,engaged,1,0
C00494,at_risk,0,0
C00495,engaged,1,1
C00496,engaged,1,1
C00497,engaged,1,0
C00498,engaged,0,1
C00499,engaged,1,0
C00500,at_risk,1,0
C00501,premium,0,1
C00502,premium,0,1
C00503,engaged,1,0
C00504,engaged,0,1
C00505,at_risk,1,0
C00506,engaged,1,0
C00507,at_risk,0,0
C00508,engaged,0,0
C00509,new,0,0
C00510,new,0,0
C00511,at_risk,1,0
C00512,new,1,0
C00513,engaged,1,1
C00514,engaged,1,0
C00515,new,1,0
C00516,engaged,1,0
C00517,at_risk,0,0
C00518,new,1,0
C00519,at_risk,0,0
C00520,premium,1,0
C00521,engaged,0,0
C00522,new,1,1
C00523,engaged,1,0
C00524,new,0,0
C00525,engaged,0,1
C00526,premium,0,0
C00527,premium,0,0
C00528,at_risk,0,0
C00529,engaged,1,0
C00530,at_risk,0,0
C00531,at_risk,0,0
C00532,engaged,1,0
C00533,engaged,1,1
C00534,new,0,0
C00535,new,1,1
C00536,engaged,0,0
C00537,new,1,0
C00538,new,0,0
C00539,at_risk,1,0
C00540,premium,0,0
C00541,engaged,1,1
C00542,at_risk,1,0
C00543,premium,0,0
C00544,new,1,0
C00545,engaged,0,0
